Symbol,Security Name,Exchange
AOUT,"American Outdoor Brands, Inc. - Common Stock",NASDAQ
APA,Apache Corporation - Common Stock,NASDAQ
APDN,"Applied DNA Sciences, Inc. - Common Stock",NASDAQ
APEI,"American Public Education, Inc. - Common Stock",NASDAQ
APEN,"Apollo Endosurgery, Inc. - Common Stock",NASDAQ
APHA,Aphria Inc. - Common Shares,NASDAQ
API,"Agora, Inc. - ADS",NASDAQ
APLS,"Apellis Pharmaceuticals, Inc. - Common Stock",NASDAQ
APLT,"Applied Therapeutics, Inc. - Common Stock",NASDAQ
APM,Aptorum Group Limited - Class A Ordinary Shares,NASDAQ
APOG,"Apogee Enterprises, Inc. - Common Stock",NASDAQ
APOP,Cellect Biotechnology Ltd. - American Depositary Shares,NASDAQ
APOPW,Cellect Biotechnology Ltd. - Warrants to Purchase ADR (1 WT and $7.50 to purchase 0.2 ADS),NASDAQ
APPF,"AppFolio, Inc. - Class A Common Stock",NASDAQ
APPH,"AppHarvest, Inc. - Common Stock",NASDAQ
APPHW,"AppHarvest, Inc. - Warrants",NASDAQ
APPN,Appian Corporation - Class A Common Stock,NASDAQ
APPS,"Digital Turbine, Inc. - Common Stock",NASDAQ
APR,"Apria, Inc. - Common Stock",NASDAQ
APRE,"Aprea Therapeutics, Inc. - Common Stock",NASDAQ
APTO,"Aptose Biosciences, Inc. - Common Shares",NASDAQ
APTX,Aptinyx Inc. - Common Stock,NASDAQ
APVO,Aptevo Therapeutics Inc. - Common Stock,NASDAQ
APWC,"Asia Pacific Wire  - Common shares, Par value .01 per share",NASDAQ
APXT,Apex Technology Acquisition Corporation - Class A Common Stock,NASDAQ
APXTU,Apex Technology Acquisition Corporation - Unit,NASDAQ
APXTW,Apex Technology Acquisition Corporation - Warrant,NASDAQ
APYX,Apyx Medical Corporation - Common Stock,NASDAQ
AQB,"AquaBounty Technologies, Inc. - Common Stock",NASDAQ
AQST,"Aquestive Therapeutics, Inc. - Common Stock",NASDAQ
ARAV,"Aravive, Inc. - Common Stock",NASDAQ
ARAY,Accuray Incorporated - Common Stock,NASDAQ
ARBG,Aequi Acquisition Corp. - common stock,NASDAQ
ARBGU,Aequi Acquisition Corp. - Unit,NASDAQ
ARBGW,Aequi Acquisition Corp. - warrants,NASDAQ
ARCB,ArcBest Corporation - Common Stock,NASDAQ
ARCC,Ares Capital Corporation - Closed End Fund,NASDAQ
ARCE,Arco Platform Limited - Class A Common Shares,NASDAQ
ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock,NASDAQ
ARDS,Aridis Pharmaceuticals Inc. - Common Stock,NASDAQ
ARDX,"Ardelyx, Inc. - Common Stock",NASDAQ
ARGX,argenx SE - American Depositary Shares,NASDAQ
ARKIU,Ark Global Acquisition Corp. - Unit,NASDAQ
ARKO,ARKO Corp. - Common Stock,NASDAQ
ARKOW,ARKO Corp. - Warrant,NASDAQ
ARKR,Ark Restaurants Corp. - Common Stock,NASDAQ
ARLP,"Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests",NASDAQ
ARNA,"Arena Pharmaceuticals, Inc. - Common Stock",NASDAQ
AROW,Arrow Financial Corporation - Common Stock,NASDAQ
ARPO,"Aerpio Pharmaceuticals, Inc. - Common Stock",NASDAQ
ARQT,"Arcutis Biotherapeutics, Inc. - Common stock",NASDAQ
ARRY,"Array Technologies, Inc. - Common Stock",NASDAQ
ARTL,"Artelo Biosciences, Inc. - Common Stock",NASDAQ
ARTLW,"Artelo Biosciences, Inc. - Warrant",NASDAQ
ARTNA,Artesian Resources Corporation - Class A Non-Voting Common Stock,NASDAQ
ARTW,"Art's-Way Manufacturing Co., Inc. - Common Stock",NASDAQ
ARVN,"Arvinas, Inc. - Common Stock",NASDAQ
ARWR,"Arrowhead Pharmaceuticals, Inc. - Common Stock",NASDAQ
ARYA,ARYA Sciences Acquisition Corp III - Class A Ordinary Shares,NASDAQ
ASAXU,Astrea Acquisition Corp. - Unit,NASDAQ
ASET,FlexShares Real Assets Allocation Index Fund,NASDAQ
ASLE,AerSale Corporation - Common Stock,NASDAQ
ASLEW,AerSale Corporation - Warrants,NASDAQ
ASLN,ASLAN Pharmaceuticals Limited - American Depositary Shares,NASDAQ
ASMB,"Assembly Biosciences, Inc. - Common Stock",NASDAQ
ASML,ASML Holding N.V. - New York Registry Shares,NASDAQ
ASND,Ascendis Pharma A/S - American Depositary Shares,NASDAQ
ASO,"Academy Sports and Outdoors, Inc. - Common Stock",NASDAQ
ASPCU,Alpha Capital Acquisition Company - Unit,NASDAQ
ASPS,Altisource Portfolio Solutions S.A. - Common Stock,NASDAQ
ASPU,Aspen Group Inc. - Common Stock,NASDAQ
ASRV,AmeriServ Financial Inc. - Common Stock,NASDAQ
ASRVP,"AmeriServ Financial Inc. - AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities, Series A",NASDAQ
ASTC,Astrotech Corporation - Common Stock,NASDAQ
ASTE,"Astec Industries, Inc. - Common Stock",NASDAQ
ASUR,Asure Software Inc - Common Stock,NASDAQ
ASYS,"Amtech Systems, Inc. - Common Stock",NASDAQ
